id,name,district,region,ig_address,game_x,game_y,real_life,real_lat,real_lng,tags,ingame_photo,reallife_photo
L11,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1979.4552215394265,1926.5420522539341,"Sorrento Tower, Miami Beach Boardwalk, Miami Beach, FL 33140, USA",25.8162956,-80.12183519999999,,landmarks/Vice_Beach/L11_unnamed_ingame.jpg,landmarks/Vice_Beach/L11_unnamed_reallife.jpg
L12,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1874.2259557548418,1799.3720065000448,"Red South Beach, 3010 Collins Ave, Miami Beach, FL 33140, USA",25.8061909,-80.1245716,,landmarks/Vice_Beach/L12_unnamed_ingame.jpg,landmarks/Vice_Beach/L12_unnamed_reallife.jpg
L13,Albany Hotel,Washington Beach,Vice Beach,"Albany Hotel, Washington Beach, Vice Beach",1943.0868425339124,1809.1293729736378,"Cadillac Hotel & Beach Club, 3925 Collins Ave, Miami Beach, FL 33140, USA",25.8120341,-80.1228024,l1 hotel,landmarks/Vice_Beach/L13_Albany_Hotel_ingame.jpg,landmarks/Vice_Beach/L13_Albany_Hotel_reallife.jpg
L14,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1881.53107591128,1752.9108483354016,"Generator Miami, 3120 Collins Ave, Miami Beach, FL 33140, USA",25.8070512,-80.1243636,,landmarks/Vice_Beach/L14_unnamed_ingame.jpg,landmarks/Vice_Beach/L14_unnamed_reallife.jpg
L15,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1964.2576195626377,1704.4839333190596,"Faena House, 3315 Collins Ave, Miami Beach, FL 33140, USA",25.8078284,-80.1233677,construction,landmarks/Vice_Beach/L15_unnamed_ingame.jpg,landmarks/Vice_Beach/L15_unnamed_reallife.jpg
L16,Y Vice City,Washington Beach,Vice Beach,"Y Vice City, Washington Beach, Vice Beach",1951.7532969132371,1591.8411954119233,"W South Beach, 2201 Collins Ave, Miami Beach, FL 33139, USA",25.7973813,-80.1271903,enterable hotel,landmarks/Vice_Beach/L16_Y_Vice_City_ingame.jpg,landmarks/Vice_Beach/L16_Y_Vice_City_reallife.jpg
L17,Crystal,Ocean Beach,Vice Beach,"Crystal, Ocean Beach, Vice Beach",1985.0504692697145,1361.326114910523,"The Ritz-Carlton South Beach, 1 Lincoln Rd, Miami Beach, FL 33139, USA",25.7909379,-80.1291845,hotel,landmarks/Vice_Beach/L17_Crystal_ingame.jpg,landmarks/Vice_Beach/L17_Crystal_reallife.jpg
L18,Sachem,Ocean Beach,Vice Beach,"Sachem, Ocean Beach, Vice Beach",1953.4524265808273,1283.3452826092866,"Decoplage, 100 Lincoln Rd, Miami Beach, FL 33139, USA",25.7902767,-80.1284648,l1 hotel,landmarks/Vice_Beach/L18_Sachem_ingame.jpg,landmarks/Vice_Beach/L18_Sachem_reallife.jpg
L19,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1791.9586404108416,1181.6915646423522,"Park@420 Lincoln Rd, 420 Lincoln Rd, Miami Beach, FL 33139, USA",25.7895983,-80.1327819,transportation,landmarks/Vice_Beach/L19_unnamed_ingame.jpg,landmarks/Vice_Beach/L19_unnamed_reallife.jpg
L20,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1948.933045831473,1143.6654336921083,"Loews Miami Beach, 1601 Collins Ave, Miami Beach, FL 33139, USA",25.7894357,-80.1297317,hotel,landmarks/Vice_Beach/L20_unnamed_ingame.jpg,landmarks/Vice_Beach/L20_unnamed_reallife.jpg
L21,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1983.5,1091.5,"St. Moritz Hotel, 1601 Collins Ave, Miami Beach, FL 33139, USA",25.78886,-80.1295927,hotel,landmarks/Vice_Beach/L21_unnamed_ingame.jpg,landmarks/Vice_Beach/L21_unnamed_reallife.jpg
L22,Bayfront Heights,Ocean Beach,Vice Beach,"Bayfront Heights, Ocean Beach, Vice Beach",2029.5710136244118,1035.3709215792328,"Royal Palm South Beach, 1545 Collins Ave, Miami Beach, FL 33139, USA",25.7883969,-80.1293601,hotel,landmarks/Vice_Beach/L22_Bayfront_Heights_ingame.jpg,landmarks/Vice_Beach/L22_Bayfront_Heights_reallife.jpg
L23,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1865,1044,"Aqua Hotel, 1530 Collins Ave, Miami Beach, FL 33139, USA",25.7882888,-80.1308035,hotel,landmarks/Vice_Beach/L23_unnamed_ingame.jpg,landmarks/Vice_Beach/L23_unnamed_reallife.jpg
L24,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",2037.9337717210276,970.5615860275598,"1500 Ocean Dr, Miami Beach, FL 33139, USA",25.787952,-80.12908700000001,hotel,landmarks/Vice_Beach/L24_unnamed_ingame.jpg,landmarks/Vice_Beach/L24_unnamed_reallife.jpg
L25,Dominion Hotel,Ocean Beach,Vice Beach,"Dominion Hotel, Shore Dr, Ocean Beach, Vice Beach",2008.1592860647202,912.1226816203816,"Cardozo South Beach, 1300 Ocean Dr, Miami Beach, FL 33139, USA",25.7842292,-80.13026909999999,hotel,landmarks/Vice_Beach/L25_Dominion_Hotel_ingame.jpg,landmarks/Vice_Beach/L25_Dominion_Hotel_reallife.jpg
L26,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",2003,873.5,"The Tides South Beach, 1220 Ocean Dr, Miami Beach, FL 33139, USA",25.7831096,-80.1303634,hotel,landmarks/Vice_Beach/L26_unnamed_ingame.jpg,landmarks/Vice_Beach/L26_unnamed_reallife.jpg
L27,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",2000.5,847,"McAlpin Ocean Plaza, 1430 Ocean Dr, Miami Beach, FL 33139, USA",25.7862903,-80.1299086,hotel,landmarks/Vice_Beach/L27_unnamed_ingame.jpg,landmarks/Vice_Beach/L27_unnamed_reallife.jpg
L28,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1995.5,828,"Winter Haven, 1400 Ocean Dr, Miami Beach, FL 33139, USA",25.7853153,-80.1298456,hotel,landmarks/Vice_Beach/L28_unnamed_ingame.jpg,landmarks/Vice_Beach/L28_unnamed_reallife.jpg
L29,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1985.5,802.5,"The Villa Casa Casuarina, 1116 Ocean Dr, Miami Beach, FL 33139, USA",25.7819611,-80.13049989999999,hotel,landmarks/Vice_Beach/L29_unnamed_ingame.jpg,landmarks/Vice_Beach/L29_unnamed_reallife.jpg
L30,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",2059.537104391691,743.0908915427462,"14th St Public Restrooms, 1451 Ocean Dr, Miami Beach, FL 33139, USA",25.7851353,-80.1295282,public,landmarks/Vice_Beach/L30_unnamed_ingame.jpg,landmarks/Vice_Beach/L30_unnamed_reallife.jpg
L31,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1912,723.5,"826 Collins Ave, Miami Beach, FL 33139, USA",25.7787396,-80.13245359999999,,landmarks/Vice_Beach/L31_unnamed_ingame.jpg,landmarks/Vice_Beach/L31_unnamed_reallife.jpg
L32,Hotel Dixon,Ocean Beach,Vice Beach,"Hotel Dixon, Shore Dr, Ocean Beach, Vice Beach",1973.5,737,"Hotel Victor, 1144 Ocean Dr, Miami Beach, FL 33139, USA",25.782402,-80.1305387,hotel,landmarks/Vice_Beach/L32_Hotel_Dixon_ingame.jpg,landmarks/Vice_Beach/L32_Hotel_Dixon_reallife.jpg
L33,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1971,710,"Leslie Hotel, 1244 Ocean Dr, Miami Beach, FL 33139, USA",25.7835479,-80.1301558,hotel,landmarks/Vice_Beach/L33_unnamed_ingame.jpg,landmarks/Vice_Beach/L33_unnamed_reallife.jpg
L34,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1968,693,"Cavalier Hotel, 1320 Ocean Dr, Miami Beach, FL 33139, USA",25.7843811,-80.1300461,hotel,landmarks/Vice_Beach/L34_unnamed_ingame.jpg,landmarks/Vice_Beach/L34_unnamed_reallife.jpg
L35,Paramour Hotel,Ocean Beach,Vice Beach,"Paramour Hotel, Shore Dr, Ocean Beach, Vice Beach",1963,677.5,"Congress Hotel, 1036 Ocean Dr, Miami Beach, FL 33139, USA",25.7811276,-80.13079850000001,hotel,landmarks/Vice_Beach/L35_Paramour_Hotel_ingame.jpg,landmarks/Vice_Beach/L35_Paramour_Hotel_reallife.jpg
L36,Ocean View Hotel,Ocean Beach,Vice Beach,"Ocean View Hotel, Shore Dr, Ocean Beach, Vice Beach",1959.5,639,"Clevelander South Beach, 1020 Ocean Dr, Miami Beach, FL 33139, USA",25.780866,-80.13084599999999,hotel,landmarks/Vice_Beach/L36_Ocean_View_Hotel_ingame.jpg,landmarks/Vice_Beach/L36_Ocean_View_Hotel_reallife.jpg
L37,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",2052,604,"Beach Patrol Headquarters, Miami Beach, FL 33139, USA",25.7746389,-80.1421845,l1 service,landmarks/Vice_Beach/L37_unnamed_ingame.jpg,landmarks/Vice_Beach/L37_unnamed_reallife.jpg
L38,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",2019,606,"Art Deco Welcome Center, 1001 Ocean Dr, Miami Beach, FL 33139, USA",25.7802959,-80.1303405,public,landmarks/Vice_Beach/L38_unnamed_ingame.jpg,landmarks/Vice_Beach/L38_unnamed_reallife.jpg
L39,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1941,589,"Edison Hotel, 960 Ocean Dr, Miami Beach, FL 33139, USA",25.7802567,-80.1308979,hotel,landmarks/Vice_Beach/L39_unnamed_ingame.jpg,landmarks/Vice_Beach/L39_unnamed_reallife.jpg
L40,Boardwalk,Ocean Beach,Vice Beach,"Boardwalk, Shore Dr, Ocean Beach, Vice Beach",1939,564.5,"Hotel Breakwater, 940 Ocean Dr, Miami Beach, FL 33139, USA",25.7799929,-80.13108559999999,hotel,landmarks/Vice_Beach/L40_Boardwalk_ingame.jpg,landmarks/Vice_Beach/L40_Boardwalk_reallife.jpg
L41,Hotel Neptune,Ocean Beach,Vice Beach,"Hotel Neptune, Shore Dr, Ocean Beach, Vice Beach",1934.5,540.5,"Shore Park Hotel, 820 Ocean Dr, Miami Beach, FL 33139, USA",25.7784146,-80.131334,l1 hotel,landmarks/Vice_Beach/L41_Hotel_Neptune_ingame.jpg,landmarks/Vice_Beach/L41_Hotel_Neptune_reallife.jpg
L42,Parsons Hotel?,Ocean Beach,Vice Beach,"Parsons Hotel?, Shore Dr, Ocean Beach, Vice Beach",1932.5,526.5,"Pelican Hotel & Café, 826 Ocean Dr, Miami Beach, FL 33139, USA",25.7785098,-80.1311626,hotel unconfirmed,,landmarks/Vice_Beach/L42_Parsons_Hotel_reallife.jpg
L43,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1928.5,495,"760 Ocean Dr, Miami Beach, FL 33139, USA",25.7778817,-80.1314356,,landmarks/Vice_Beach/L43_unnamed_ingame.jpg,landmarks/Vice_Beach/L43_unnamed_reallife.jpg
L44,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1930.5,510.5,"News Cafe, 800 Ocean Dr, Miami Beach, FL 33139, USA",25.7780952,-80.1313455,restaurant,landmarks/Vice_Beach/L44_unnamed_ingame.jpg,landmarks/Vice_Beach/L44_unnamed_reallife.jpg
L45,Seashell Hotel,Ocean Beach,Vice Beach,"Seashell Hotel, Shore Dr, Ocean Beach, Vice Beach",1931,446.4999999999999,"Starlite Hotel, 750 Ocean Dr, Miami Beach, FL 33139, USA",25.7776858,-80.13137449999999,hotel,landmarks/Vice_Beach/L45_Seashell_Hotel_ingame.jpg,landmarks/Vice_Beach/L45_Seashell_Hotel_reallife.jpg
L46,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1928.5,428.4999999999999,"Boulevard Hotel, 740 Ocean Dr, Miami Beach, FL 33139, USA",25.7775653,-80.1314342,//may-not-exist hotel unconfirmed,,landmarks/Vice_Beach/L46_unnamed_reallife.jpg
L47,Cortez Hotel,Ocean Beach,Vice Beach,"Cortez Hotel, Shore Dr, Ocean Beach, Vice Beach",1928,411.9999999999999,"Colony Hotel, 736 Ocean Dr, Miami Beach, FL 33139, USA",25.7774259,-80.1314201,hotel,landmarks/Vice_Beach/L47_Cortez_Hotel_ingame.jpg,landmarks/Vice_Beach/L47_Cortez_Hotel_reallife.jpg
L48,Bobby Hurricane's,Ocean Beach,Vice Beach,"Bobby Hurricane's, Shore Dr, Ocean Beach, Vice Beach",1923.5,398.4999999999999,"Johnny Rockets, 728 Ocean Dr, Miami Beach, FL 33139, USA",25.7772667,-80.1315472,retail scarface,landmarks/Vice_Beach/L48_Bobby_Hurricanes_ingame.jpg,landmarks/Vice_Beach/L48_Bobby_Hurricanes_reallife.jpg
L49,Atlantis Hotel,Ocean Beach,Vice Beach,"Atlantis Hotel, Shore Dr, Ocean Beach, Vice Beach",1922,386.4999999999999,"Beacon South Beach, 720 Ocean Dr, Miami Beach, FL 33139, USA",25.7771732,-80.1315903,hotel,landmarks/Vice_Beach/L49_Atlantis_Hotel_ingame.jpg,landmarks/Vice_Beach/L49_Atlantis_Hotel_reallife.jpg
L50,Seahorse,Ocean Beach,Vice Beach,"Seahorse, Shore Dr, Ocean Beach, Vice Beach",1920.5,371.4999999999999,"Gabriel South Beach, 640 Ocean Dr, Miami Beach, FL 33139, USA",25.7763613,-80.1316421,,landmarks/Vice_Beach/L50_Seahorse_ingame.jpg,landmarks/Vice_Beach/L50_Seahorse_reallife.jpg
L51,Cordelia,Ocean Beach,Vice Beach,"Cordelia, Shore Dr, Ocean Beach, Vice Beach",1918,354.4999999999999,"Park Central Hotel, 640 Ocean Dr, Miami Beach, FL 33139, USA",25.7763613,-80.1316421,hotel,landmarks/Vice_Beach/L51_Cordelia_ingame.jpg,landmarks/Vice_Beach/L51_Cordelia_reallife.jpg
L52,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1906.5,286,"Beach Park Hotel, 600 Ocean Dr, Miami Beach, FL 33139, USA",25.775693,-80.131826,hotel,,landmarks/Vice_Beach/L52_unnamed_reallife.jpg
L53,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1904,266,"Majestic Hotel South Beach, 660 Ocean Dr, Miami Beach, FL 33139, USA",25.776646,-80.1316603,hotel,,landmarks/Vice_Beach/L53_unnamed_reallife.jpg
L54,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1963.807374931945,123.44651344211871,"Royal Atlantic Condominium, 465 Ocean Dr, Miami Beach, FL 33139, USA",25.774416,-80.131343,residential,landmarks/Vice_Beach/L54_unnamed_ingame.jpg,landmarks/Vice_Beach/L54_unnamed_reallife.jpg
L55,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1880.1516170245661,107.95503814631576,"260 Ocean Dr, Miami Beach, FL 33139, USA",25.7719115,-80.13282679999999,,,landmarks/Vice_Beach/L55_unnamed_reallife.jpg
L56,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1957.4794763471068,89.77479562879648,"455 Ocean Dr, Miami Beach, FL 33139, USA",25.7741299,-80.1317834,unconfirmed,,landmarks/Vice_Beach/L56_unnamed_reallife.jpg
L57,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1881.9759525200275,67.36923022655145,"Ocean Place, 226 Ocean Dr, Miami Beach, FL 33139, USA",25.7714479,-80.132949,,,landmarks/Vice_Beach/L57_unnamed_reallife.jpg
L58,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1961.6719124527617,43.91043558747464,"The Savoy Hotel & Beach Club, 425 Ocean Dr, Miami Beach, FL 33139, USA",25.7737878,-80.13196409999999,hotel unconfirmed,,landmarks/Vice_Beach/L58_unnamed_reallife.jpg
L59,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1978.5915635129934,14.53227014951716,"101 Ocean Dr, Miami Beach, FL 33139, USA",25.7696675,-80.1323919,,landmarks/Vice_Beach/L59_unnamed_ingame.jpg,landmarks/Vice_Beach/L59_unnamed_reallife.jpg
L60,?,Ocean Beach,Vice Beach,"?, Shore Dr, Ocean Beach, Vice Beach",1884.8397349838328,30.904440627542385,"200 Ocean Dr, Miami Beach, FL 33139, USA",25.7710296,-80.1329238,,,landmarks/Vice_Beach/L60_unnamed_reallife.jpg
L61,? (S),Ocean Beach,Vice Beach,"? (S), Ocean Beach, Vice Beach",1978.7924856778995,-339.3303358589649,"Continuum on South Beach, 100 South Pointe Dr, Miami Beach, FL 33139, USA",25.7672315,-80.1327611,residential,,landmarks/Vice_Beach/L61_S_reallife.jpg
L62,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1743,404.4999999999999,"1043 Washington Ave, Miami Beach, FL 33139, USA",25.7813748,-80.13241239999999,,landmarks/Vice_Beach/L62_unnamed_ingame.jpg,landmarks/Vice_Beach/L62_unnamed_reallife.jpg
L63,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1848.8014831202777,174.3036694755511,"Council Towers South, 533 Collins Ave, Miami Beach, FL 33139, USA",25.7752575,-80.13272540000001,residential,landmarks/Vice_Beach/L63_unnamed_ingame.jpg,landmarks/Vice_Beach/L63_unnamed_reallife.jpg
L64,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1742.5,383.9999999999999,"1001 Washington Ave, Miami Beach, FL 33139, USA",25.780896,-80.13243419999999,//address-ambiguous,landmarks/Vice_Beach/L64_unnamed_ingame.jpg,landmarks/Vice_Beach/L64_unnamed_reallife.jpg
L65,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1811.1219999999998,425.08899999999994,"Council Towers North, 1040 Collins Ave, Miami Beach, FL 33139, USA",25.7814319,-80.1318375,residential,landmarks/Vice_Beach/L65_unnamed_ingame.jpg,landmarks/Vice_Beach/L65_unnamed_reallife.jpg
L66,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1817.2755,464.4309999999999,"Ocean Hotel, 236 9th St, Miami Beach, FL 33139, USA",25.7793736,-80.13267259999999,hotel,,landmarks/Vice_Beach/L66_unnamed_reallife.jpg
L67,?,Ocean Beach,Vice Beach,"?, Shorefront Ave, Ocean Beach, Vice Beach",1617.0712762396065,395.6946863456135,"555 Washington Ave, Miami Beach, FL 33139, USA",25.7751146,-80.1337082,,landmarks/Vice_Beach/L67_unnamed_ingame.jpg,landmarks/Vice_Beach/L67_unnamed_reallife.jpg
L68,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1830.5,542.4999999999999,"1100 Collins Ave, Miami Beach, FL 33139, USA",25.7819498,-80.1315059,,,landmarks/Vice_Beach/L68_unnamed_reallife.jpg
L69,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1837,578,"1120 Collins Ave, Miami Beach, FL 33139, USA",25.7822088,-80.1315618,,,landmarks/Vice_Beach/L69_unnamed_reallife.jpg
L70,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1699,599,"Old City Hall, 1130 Washington Ave, Miami Beach, FL 33139, USA",25.7825298,-80.1326844,,landmarks/Vice_Beach/L70_unnamed_ingame.jpg,landmarks/Vice_Beach/L70_unnamed_reallife.jpg
L71,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1893,580,"Jenny Hostel, 953 Collins Ave, Miami Beach, FL 33139, USA",25.7801843,-80.1313873,,landmarks/Vice_Beach/L71_unnamed_ingame.jpg,landmarks/Vice_Beach/L71_unnamed_reallife.jpg
L72,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1843.5,615.5,"170 8th St, Miami Beach, FL 33139, USA",25.7780135,-80.1319511,,landmarks/Vice_Beach/L72_unnamed_ingame.jpg,landmarks/Vice_Beach/L72_unnamed_reallife.jpg
L73,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1839.2998999237439,695.5538153611519,"Miami Beach Parking Garage, 200 7th St, Miami Beach, FL 33139, USA",25.7766204,-80.1329516,,landmarks/Vice_Beach/L73_unnamed_ingame.jpg,landmarks/Vice_Beach/L73_unnamed_reallife.jpg
L74,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1931,876,"Chesterfield Hotel & Suites, 855 Collins Ave, Miami Beach, FL 33139, USA",25.7790128,-80.13164909999999,hotel,,landmarks/Vice_Beach/L74_unnamed_reallife.jpg
L75,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1871.5,880.5,"1208 Collins Ave, 1208 Collins Ave, Miami Beach, FL 33139, USA",25.783142,-80.1314964,l1 retail,landmarks/Vice_Beach/L75_unnamed_ingame.jpg,landmarks/Vice_Beach/L75_unnamed_reallife.jpg
L76,?,Ocean Beach,Vice Beach,"?, Thompson Ave, Ocean Beach, Vice Beach",1724.889,914.6844999999998,"405 Española Wy, Miami Beach, FL 33139, USA",25.7870228,-80.13206339999999,//address-ambiguous,landmarks/Vice_Beach/L76_unnamed_ingame.jpg,landmarks/Vice_Beach/L76_unnamed_reallife.jpg
L77,?,Ocean Beach,Vice Beach,"?, Thompson Ave, Ocean Beach, Vice Beach",1730.094,949.9999999999999,"Chandler Building, 1464 Washington Ave, Miami Beach, FL 33139, USA",25.7874406,-80.1320095,,landmarks/Vice_Beach/L77_unnamed_ingame.jpg,landmarks/Vice_Beach/L77_unnamed_reallife.jpg
L78,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1933.5,911.5,"1351 Collins Ave, Miami Beach, FL 33139, USA",25.7849853,-80.1306894,,,landmarks/Vice_Beach/L78_unnamed_reallife.jpg
L79,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1882.502,982.4999999999999,"1400 Collins Ave, Miami Beach, FL 33139, USA",25.7855639,-80.13112559999999,,landmarks/Vice_Beach/L79_unnamed_ingame.jpg,landmarks/Vice_Beach/L79_unnamed_reallife.jpg
L80,?,Ocean Beach,Vice Beach,"?, Thompson Ave, Ocean Beach, Vice Beach",1725,1044.5,"Courtyard by Marriott, 1530 Washington Ave, Miami Beach, FL 33139, USA",25.7881782,-80.1320177,,landmarks/Vice_Beach/L80_unnamed_ingame.jpg,landmarks/Vice_Beach/L80_unnamed_reallife.jpg
L81,?,Ocean Beach,Vice Beach,"?, Thompson Ave, Ocean Beach, Vice Beach",1724,1067,"Exchange South Beach, 1532 Washington Ave, Miami Beach, FL 33139, USA",25.7882822,-80.13208519999999,,landmarks/Vice_Beach/L81_unnamed_ingame.jpg,landmarks/Vice_Beach/L81_unnamed_reallife.jpg
L82,?,Ocean Beach,Vice Beach,"?, Thompson Ave, Ocean Beach, Vice Beach",1720.828,1083.056,"Chalan on the Beach, 1580 Washington Ave, Miami Beach, FL 33139, USA",25.788956,-80.132021,,landmarks/Vice_Beach/L82_unnamed_ingame.jpg,landmarks/Vice_Beach/L82_unnamed_reallife.jpg
L83,?,Ocean Beach,Vice Beach,"?, Thompson Ave, Ocean Beach, Vice Beach",1802,1093,"1441 Washington Ave, Miami Beach, FL 33139, USA",25.7867871,-80.1316152,,landmarks/Vice_Beach/L83_unnamed_ingame.jpg,landmarks/Vice_Beach/L83_unnamed_reallife.jpg
L84,?,Ocean Beach,Vice Beach,"?, Ocean Beach, Vice Beach",1713.2835,1359.0720000000001,"Bank of America Financial Center, 401 Lincoln Rd, Miami Beach, FL 33139, USA",25.7909671,-80.1320884,,landmarks/Vice_Beach/L84_unnamed_ingame.jpg,landmarks/Vice_Beach/L84_unnamed_reallife.jpg
L85,Vice Museum of Art,Ocean Beach,Vice Beach,"Vice Museum of Art, Ocean Beach, Vice Beach",1792,1474,"The Bass, 2100 Collins Ave, Miami Beach, FL 33139, USA",25.7975668,-80.1301297,,landmarks/Vice_Beach/L85_Vice_Museum_of_Art_ingame.jpg,landmarks/Vice_Beach/L85_Vice_Museum_of_Art_reallife.jpg
